task_name,official_agent,official_model,official_effort,official_runtime_video,solver_success,validation_success,failure_message,instruction,validator_path,validator_archive,reference_path,official_result_dir,official_result_artifact_present,review_status,review_category,behavioral_countertest,evidence_path
task_0048,codex,gpt-6-astra,high,True,True,False,Draggable without overlaps must call self_destruct and queue_free,"Implement scenes/draggable.tscn as a decoration component that can be dragged. The root Area2D must be named Draggable in the scene, set collision_mask to 2, linear_damp to 20, and attach scripts/draggable.gd. Under it, add Sprite2D named Sprite that uses assets/sprites/star_1.png and is uniformly scaled to 0.58, plus a CollisionShape2D named CollisionShape that holds a 72×72 RectangleShape2D covering the sprite. Implement scripts/draggable.gd so it records initial_position and initial_scale on _ready(), shrinks to zero and tweens back in play_spawn_animation(), listens for the ""click"" action in _on_input_event/_input, lerps toward the mouse while dragging, emits dropped(self, overlapping_areas) on release, and calls self_destruct() with a shrink tween whenever it is dropped outside DropTarget's region.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0048\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0048.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0048,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0048_codex_20260907_072924,False,unreviewed,,,
task_0052,codex,gpt-6-astra,high,True,True,False,Failed to load Player scene.,"Update scripts/player.gd so the Player exports @export_range(0.0, 1.0) var friction = 0.1 and @export_range(0.0, 1.0) var acceleration = 0.25, cache Input.get_axis(""move_left"", ""move_right"") in a dir variable, lerp velocity.x toward dir * speed using acceleration whenever dir != 0, lerp toward 0 using friction when idle, and keep the existing gravity, move_and_slide(), and jump logic gating Input.is_action_just_pressed(""jump"") on is_on_floor().",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0052\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0052.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0052,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0052_codex_20260907_072853,False,unreviewed,,,
task_0055,codex,gpt-6-astra,high,True,True,False,player.gd must reference snappedf,"Update scripts/player.gd so the Player CharacterBody2D reads the local mouse vector each physics frame, snaps the angle to 45-degree steps, wraps it into the 0-7 range, and plays the matching AnimatedSprite2D animation with the angle appended (e.g., idle0, idle1, etc.). When left_mouse is held and the mouse distance exceeds 10 pixels, switch to run animations (e.g., run0, run1, etc.) and move with move_and_slide() toward the mouse; otherwise, stay on idle animations with zero velocity.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0055\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0055.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0055,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0055_codex_20260907_072953,False,unreviewed,,,
task_0057,codex,gpt-6-astra,high,True,True,False,Main needs at least two Unit instances for testing,"Build the reusable Unit scene: root it in a CharacterBody2D on collision layer 2/mask 3, keep it in the 'units' group. Add a Sprite2D child that uses the towerDefense spritesheet texture with region_enabled=true and region_rect=Rect2(960, 640, 64, 64), and apply a ShaderMaterial using the aura.gdshader. Add a CollisionShape2D child with a CircleShape2D of radius 14. Add an Area2D child named 'Detect' (collision layer 2, collision mask 2) with its own CollisionShape2D child using a CircleShape2D of radius 35. Implement unit.gd to export a speed variable, define a target_radius variable, include set_selected() and set_target() setters, an avoid() function that uses $Detect.get_overlapping_bodies(), and use move_and_collide() for movement. The set_selected() function must toggle the aura_width shader parameter (1.0 when selected=true, 0.0 when selected=false). Duplicate the Sprite2D material in _ready() to ensure each instance has its own material.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0057\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0057.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0057,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0057_codex_20260907_073036,False,unreviewed,,,
task_0058,codex,gpt-6-astra,high,True,True,False,Label2 text incorrect,"Create res://scenes/audio_demo.tscn with a MarginContainer root named ""AudioDemo"" that fills the screen, uses 20px margins on all sides, and attaches res://scripts/audio_demo.gd exporting sound_dir defaulting to res://assets. Add a CenterContainer with a GridContainer child set to two columns, with 10px horizontal and vertical separation for dynamically added Buttons. Add a CanvasLayer with an HBoxContainer top bar containing four Labels and a VSeparator in the following order: ""Available Streams:"", a count label, the VSeparator, ""Queue:"", and another count label, all using the Poppins-Medium font at size 24. The label nodes are named Label, Label2, Label4, and Label3 in this exact order. The VSeparator node is named VSeparator. Implement audio_demo.gd so _ready() scans sound_dir for .wav/.ogg files, adds a Button for each with its text set to the filename, Poppins font override, and pressed connected to on_audio_button_pressed, which calls AudioManager.play() on the file path. Ensure _process() updates the count labels to reflect AudioManager.available.size() and AudioManager.queue.size().",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0058\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0058.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0058,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0058_codex_20260907_073029,False,unreviewed,,,
task_0060,codex,gpt-6-astra,high,True,True,False,Minimap must define set_zoom,"Implement the minimap logic: export a Player reference and a zoom property with a clamped setter, cache the grid and marker prototypes, center the player marker after the first frame, compute grid_scale from the grid size and viewport, duplicate and show markers for every node in the minimap_objects group using their minimap_icon keys, store them in a 'markers' dictionary, rotate (player rotation + PI/2) and position markers each frame relative to the player (scaling to 0.75 and clamping when off the grid), implement _on_object_removed which removes and erases markers when called, and implement _on_gui_input which handles mouse wheel gui_input to adjust zoom. Ensure the world scene connects minimap_objects ""removed"" signals to the minimap while mobs/crates have the ""removed"" signals, expose each one's ""minimap_icon"", and ensure mobs/crates belong to the minimap_objects group.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0060\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0060.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0060,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0060_codex_20260907_073145,False,unreviewed,,,
task_0063,codex,gpt-6-astra,high,True,True,False,Top margin left padding must be 20,"Populate the HUD CanvasLayer so it shows a top MarginContainer named MarginContainer, with a HBoxContainer child node named HBoxContainer, which then contains two Label named Health and Score, writing ""Health: 100"" and ""Score: 0"" repsectively. Then, add a hidden MarginContainer, named GameOver, stretched to the viewport with process mode set to Always. The margin of GameOver should be 70 on left and right, 60 on top, and 100 on bottom. Inside GameOver, include a gradient TextureRect background, a Labels VBox containing three labels (Label writing ""Game Over!!!"", Label2 writing ""your score is 0"", and Label3 writing ""your high score is 100""), and an HBoxContainer named HBoxContainer with buttons named ""menu"" and ""restart"".",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0063\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0063.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0063,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0063_codex_20260907_073206,False,unreviewed,,,
task_0068,codex,gpt-6-astra,high,True,True,False,Crate must be destroyed after bullet hit,"Update res://scripts/entities/tank/weapon/bullet.gd so the Bullet has const SPEED = 500, stores its travel direction and firing tank, moves every physics frame by direction.normalized() * SPEED * delta, queues itself when area_entered fires, and on body_entered destroys Crate bodies before calling queue_free().",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0068\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0068.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0068,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0068_codex_20260907_073148,False,unreviewed,,,
task_0069,codex,gpt-6-astra,high,True,True,False,Water requires a ShaderMaterial override (via material_override or surface_material_override),"Populate res://scenes/main.tscn so Main contains a water depth visualization scene: add a WorldEnvironment with a procedural sky and glow enabled, a DirectionalLight3D with shadows enabled, a MeshInstance3D named Water that uses a 10x10 PlaneMesh subdivided 20x20 with a ShaderMaterial pointing at res://scenes/WaterShader.tres, a Background Node3D holding exactly 5 sphere MeshInstance3Ds at these positions (all within the 10x10 water plane): Sphere at (3.500, 0.200, -1.000); Sphere2 at (4.200, -0.400, 0.800); Sphere3 at (3.800, 0.000, 2.500); Sphere4 at (2.900, -0.600, -2.800); Sphere5 at (4.000, 0.400, -3.500), all with green StandardMaterial3D overrides, and a Camera3D positioned at (0.195, 0.600, -0.042) with a FOV of 110 and all spheres are visible.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0069\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0069.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0069,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0069_codex_20260907_073251,False,unreviewed,,,
task_0070,codex,gpt-6-astra,high,True,True,False,Water requires a ShaderMaterial override (via material_override or surface_material_override),"Populate res://scenes/main.tscn so Main contains a water depth visualization scene: add a WorldEnvironment with a procedural sky and glow enabled, a DirectionalLight3D with shadows enabled, a MeshInstance3D named Water that uses a 10x10 PlaneMesh subdivided 20x20 with a ShaderMaterial pointing at res://scenes/WaterShader.tres, a Background Node3D holding exactly 5 sphere MeshInstance3Ds at these positions (all within the 10x10 water plane): Sphere at (-3.800, 0.300, 1.200); Sphere2 at (-4.400, -0.500, -0.600); Sphere3 at (-3.200, 0.100, -2.400); Sphere4 at (-2.600, -0.700, 2.800); Sphere5 at (-4.100, 0.400, 3.500), all with green StandardMaterial3D overrides, and a Camera3D positioned at (-0.194, 0.600, 0.048) with a FOV of 110 and all spheres are visible.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0070\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0070.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0070,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0070_codex_20260907_073429,False,unreviewed,,,
task_0071,codex,gpt-6-astra,high,True,True,False,Water requires a ShaderMaterial override (via material_override or surface_material_override),"Populate res://scenes/main.tscn so Main contains a water depth visualization scene: add a WorldEnvironment with a procedural sky and glow enabled, a DirectionalLight3D with shadows enabled, a MeshInstance3D named Water that uses a 10x10 PlaneMesh subdivided 20x20 with a ShaderMaterial pointing at res://scenes/WaterShader.tres, a Background Node3D holding exactly 5 sphere MeshInstance3Ds at these positions (all within the 10x10 water plane): Sphere at (1.200, 0.200, 3.800); Sphere2 at (-1.400, -0.400, 4.300); Sphere3 at (2.600, 0.100, 4.500); Sphere4 at (-2.800, 0.000, 3.200); Sphere5 at (0.400, 0.500, 4.000), all with green StandardMaterial3D overrides, and a Camera3D positioned at (0.000, 0.600, 0.200) with a FOV of 110 and all spheres are visible.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0071\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0071.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0071,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0071_codex_20260907_073347,False,unreviewed,,,
task_0072,codex,gpt-6-astra,high,True,True,False,Water requires a ShaderMaterial override (via material_override or surface_material_override),"Populate res://scenes/main.tscn so Main contains a water depth visualization scene: add a WorldEnvironment with a procedural sky and glow enabled, a DirectionalLight3D with shadows enabled, a MeshInstance3D named Water that uses a 10x10 PlaneMesh subdivided 20x20 with a ShaderMaterial pointing at res://scenes/WaterShader.tres, a Background Node3D holding exactly 5 sphere MeshInstance3Ds at these positions (all within the 10x10 water plane): Sphere at (1.500, 0.200, -4.200); Sphere2 at (-1.000, -0.500, -3.800); Sphere3 at (2.800, 0.000, -4.500); Sphere4 at (-2.600, -0.400, -3.300); Sphere5 at (0.000, 0.400, -4.000), all with green StandardMaterial3D overrides, and a Camera3D positioned at (0.007, 0.600, -0.200) with a FOV of 110 and all spheres are visible.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0072\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0072.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0072,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0072_codex_20260907_073331,False,unreviewed,,,
task_0073,codex,gpt-6-astra,high,True,True,False,Water requires a ShaderMaterial override (via material_override or surface_material_override),"Populate res://scenes/main.tscn so Main contains a water depth visualization scene: add a WorldEnvironment with a procedural sky and glow enabled, a DirectionalLight3D with shadows enabled, a MeshInstance3D named Water that uses a 10x10 PlaneMesh subdivided 20x20 with a ShaderMaterial pointing at res://scenes/WaterShader.tres, a Background Node3D holding exactly 5 sphere MeshInstance3Ds at these positions (all within the 10x10 water plane): Sphere at (3.200, 0.300, 3.000); Sphere2 at (4.000, -0.500, 2.200); Sphere3 at (2.500, 0.100, 4.200); Sphere4 at (3.800, -0.700, 4.500); Sphere5 at (4.400, 0.400, 3.800), all with green StandardMaterial3D overrides, and a Camera3D positioned at (0.142, 0.600, 0.141) with a FOV of 50 and all spheres are visible.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0073\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0073.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0073,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0073_codex_20260907_073346,False,unreviewed,,,
task_0075,codex,gpt-6-astra,high,True,True,False,Water requires a ShaderMaterial override (via material_override or surface_material_override),"Populate res://scenes/main.tscn so Main contains a water depth visualization scene: add a WorldEnvironment with a procedural sky and glow enabled, a DirectionalLight3D with shadows enabled, a MeshInstance3D named Water that uses a 10x10 PlaneMesh subdivided 20x20 with a ShaderMaterial pointing at res://scenes/WaterShader.tres, a Background Node3D holding exactly 5 sphere MeshInstance3Ds at these positions (all within the 10x10 water plane): Sphere at (3.800, -0.400, 3.200); Sphere2 at (-2.900, 0.200, -4.100); Sphere3 at (4.600, 0.000, -0.600); Sphere4 at (-4.200, -0.600, 1.700); Sphere5 at (0.800, 0.500, -3.100), all with green StandardMaterial3D overrides, and add a Camera3D so all spheres are visible Set the Camera3D FOV to 30 and set the camera Y position to 1.0.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0075\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0075.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0075,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0075_codex_20260907_073351,False,unreviewed,,,
task_0076,codex,gpt-6-astra,high,True,True,False,Water requires a ShaderMaterial override (via material_override or surface_material_override),"Populate res://scenes/main.tscn so Main contains a water depth visualization scene: add a WorldEnvironment with a procedural sky and glow enabled, a DirectionalLight3D with shadows enabled, a MeshInstance3D named Water that uses a 10x10 PlaneMesh subdivided 20x20 with a ShaderMaterial pointing at res://scenes/WaterShader.tres, a Background Node3D holding exactly 5 sphere MeshInstance3Ds at these positions (all within the 10x10 water plane): Sphere at (-1.800, 0.200, 4.700); Sphere2 at (4.400, -0.300, 1.100); Sphere3 at (-4.700, 0.100, -0.400); Sphere4 at (2.200, -0.500, -4.300); Sphere5 at (0.300, 0.400, 2.900), all with green StandardMaterial3D overrides, and add a Camera3D so all spheres are visible Set the Camera3D FOV to 30 and set the camera Y position to 1.0.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0076\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0076.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0076,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0076_codex_20260907_073407,False,unreviewed,,,
task_0077,codex,gpt-6-astra,high,True,True,False,Water requires a ShaderMaterial override (via material_override or surface_material_override),"Populate res://scenes/main.tscn so Main contains a water depth visualization scene: add a WorldEnvironment with a procedural sky and glow enabled, a DirectionalLight3D with shadows enabled, a MeshInstance3D named Water that uses a 10x10 PlaneMesh subdivided 20x20 with a ShaderMaterial pointing at res://scenes/WaterShader.tres, a Background Node3D holding exactly 5 sphere MeshInstance3Ds at these positions (all within the 10x10 water plane): Sphere at (-3.900, 0.300, -3.600); Sphere2 at (3.200, -0.200, 4.100); Sphere3 at (-0.800, 0.500, -4.400); Sphere4 at (4.700, -0.400, -1.200); Sphere5 at (-4.600, 0.000, 2.000), all with green StandardMaterial3D overrides, and add a Camera3D so all spheres are visible Set the Camera3D FOV to 30 and set the camera Y position to 1.0.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0077\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0077.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0077,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0077_codex_20260907_073351,False,unreviewed,,,
