task_name,failure_message,validator_found,validator_path,method_name_guard,direct_handler_call,exact_text_comparison,exact_resource_path,explicit_node_path,screening_priority
task_0132,"grid_scale must be derived from grid size, viewport, and zoom",True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0132\scripts\test.gd,2,3,0,0,7,high
task_0150,ContinueButton size_flags_horizontal must be Expand Fill,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0150\scripts\test.gd,1,0,5,0,4,high
task_0159,ContinueButton size_flags_horizontal must be Expand,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0159\scripts\test.gd,1,0,5,0,4,high
task_0164,Takeoff must transition into the jump animation,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0164\scripts\test.gd,0,0,0,1,3,normal
task_0166,kick animation must enable DamageEmitter monitoring during the kick and disable it when the kick ends,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0166\scripts\test.gd,0,0,0,1,6,normal
task_0183,"Ground tile (0, 0) must use the expected rectangular navigation polygon",True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0183\scripts\test.gd,0,0,0,0,2,normal
task_0184,BasicEnemy hurt animation must use the expected sprite frame sequence,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0184\scripts\test.gd,0,0,0,5,12,normal
task_0185,"Path tile (3, 3) must use terrain 0",True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0185\scripts\test.gd,0,0,0,0,2,normal
task_0190,"Solid tile (17, 4) must use the standard full-tile collision polygon",True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0190\scripts\test.gd,0,0,0,0,2,normal
task_0204,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0204\scripts\test.gd,0,0,0,0,6,normal
task_0205,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0205\scripts\test.gd,0,0,0,0,6,normal
task_0206,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0206\scripts\test.gd,0,0,0,0,6,normal
task_0207,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0207\scripts\test.gd,0,0,0,0,6,normal
task_0208,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0208\scripts\test.gd,0,0,0,0,6,normal
task_0209,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0209\scripts\test.gd,0,0,0,0,6,normal
task_0210,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0210\scripts\test.gd,0,0,0,0,6,normal
task_0211,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0211\scripts\test.gd,0,0,0,0,6,normal
task_0212,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0212\scripts\test.gd,0,0,0,0,6,normal
task_0213,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0213\scripts\test.gd,0,0,0,0,6,normal
task_0214,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0214\scripts\test.gd,0,0,0,0,6,normal
task_0215,SpawnTop must line up with the bottom tip of the branch closest to the water,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0215\scripts\test.gd,0,0,0,0,6,normal
task_0216,CoinHighlight1 must tightly cover one of the coins with overlap above 90% (best IoU=0.8539),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0216\scripts\test.gd,0,0,0,0,4,normal
task_0217,CoinHighlight1 must tightly cover one of the coins with overlap above 90% (best IoU=0.7825),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0217\scripts\test.gd,0,0,0,0,4,normal
task_0218,CoinHighlight1 must tightly cover one of the coins with overlap above 90% (best IoU=0.7527),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0218\scripts\test.gd,0,0,0,0,4,normal
task_0219,CoinHighlight1 must tightly cover one of the coins with overlap above 90% (best IoU=0.8191),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0219\scripts\test.gd,0,0,0,0,4,normal
task_0220,CoinHighlight1 must tightly cover one of the coins with overlap above 90% (best IoU=0.8079),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0220\scripts\test.gd,0,0,0,0,4,normal
task_0221,CoinHighlight1 must tightly cover one of the coins with overlap above 90% (best IoU=0.8539),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0221\scripts\test.gd,0,0,0,0,4,normal
task_0222,CoinHighlight1 must tightly cover one of the coins with overlap above 90% (best IoU=0.8692),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0222\scripts\test.gd,0,0,0,0,4,normal
task_0223,CoinHighlight1 must tightly cover one of the coins with overlap above 90% (best IoU=0.8124),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0223\scripts\test.gd,0,0,0,0,4,normal
task_0224,CoinHighlight1 must tightly cover one of the coins with overlap above 90% (best IoU=0.8319),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0224\scripts\test.gd,0,0,0,0,4,normal
task_0225,CoinHighlight1 must tightly cover one of the coins with overlap above 90% (best IoU=0.8642),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0225\scripts\test.gd,0,0,0,0,4,normal
task_0226,CoinHighlight1 must tightly cover one of the coins with overlap above 90% (best IoU=0.8166),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0226\scripts\test.gd,0,0,0,0,4,normal
task_0227,StarHighlight must cover the star with overlap above 85% (IoU=0.6275),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0227\scripts\test.gd,0,0,0,0,5,normal
task_0228,StarHighlight must cover the star with overlap above 85% (IoU=0.6519),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0228\scripts\test.gd,0,0,0,0,5,normal
task_0229,StarHighlight must cover the star with overlap above 85% (IoU=0.6729),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0229\scripts\test.gd,0,0,0,0,5,normal
task_0230,StarHighlight must cover the star with overlap above 85% (IoU=0.6622),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0230\scripts\test.gd,0,0,0,0,5,normal
task_0231,StarHighlight must cover the star with overlap above 85% (IoU=0.6305),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0231\scripts\test.gd,0,0,0,0,5,normal
task_0232,StarHighlight must cover the star with overlap above 85% (IoU=0.5743),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0232\scripts\test.gd,0,0,0,0,5,normal
task_0233,StarHighlight must cover the star with overlap above 85% (IoU=0.6292),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0233\scripts\test.gd,0,0,0,0,5,normal
task_0234,StarHighlight must cover the star with overlap above 85% (IoU=0.5984),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0234\scripts\test.gd,0,0,0,0,5,normal
task_0235,StarHighlight must cover the star with overlap above 85% (IoU=0.6640),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0235\scripts\test.gd,0,0,0,0,5,normal
task_0236,StarHighlight must cover the star with overlap above 85% (IoU=0.6332),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0236\scripts\test.gd,0,0,0,0,5,normal
task_0237,StarHighlight must stay inside the platformer image bounds,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0237\scripts\test.gd,0,0,0,0,5,normal
task_0238,GemstoneHighlight should use a purple or pink-purple tint,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0238\scripts\test.gd,0,0,0,0,5,normal
task_0240,GemstoneHighlight must cover the gemstone with overlap above 85% (IoU=0.8251),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0240\scripts\test.gd,0,0,0,0,5,normal
task_0244,GemstoneHighlight should use a purple or pink-purple tint,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0244\scripts\test.gd,0,0,0,0,5,normal
task_0245,GemstoneHighlight should use a purple or pink-purple tint,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0245\scripts\test.gd,0,0,0,0,5,normal
task_0248,GemstoneHighlight must cover the gemstone with overlap above 85% (IoU=0.8251),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0248\scripts\test.gd,0,0,0,0,5,normal
task_0263,DetectRange.base_range_size must be 30.0,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0263\scripts\test.gd,2,0,0,1,7,high
task_0264,DetectRange.base_range_size must be 24.0,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0264\scripts\test.gd,2,0,0,1,7,high
task_0265,DetectRange.base_range_size must be 28.0,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0265\scripts\test.gd,2,0,0,1,7,high
task_0267,DetectRange.base_range_size must be 36.0,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0267\scripts\test.gd,2,0,0,1,7,high
task_0268,DetectRange.base_range_size must be 40.0,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0268\scripts\test.gd,2,0,0,1,7,high
task_0269,DetectRange.base_range_size must be 26.0,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0269\scripts\test.gd,2,0,0,1,7,high
task_0270,DetectRange.base_range_size must be 34.0,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0270\scripts\test.gd,2,0,0,1,7,high
task_0271,DetectRange.base_range_size must be 22.0,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0271\scripts\test.gd,2,0,0,1,7,high
task_0272,DetectRange.base_range_size must be 38.0,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0272\scripts\test.gd,2,0,0,1,7,high
task_0273,DetectRange.base_range_size must be 27.0,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0273\scripts\test.gd,2,0,0,1,7,high
task_0281,Dragging state must reparent the card into the overlay_layer group,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0281\scripts\test.gd,0,6,0,1,7,high
task_0282,Dragging state must reparent the card into the drag_layer group,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0282\scripts\test.gd,0,6,0,1,7,high
task_0283,Dragging state must reparent the card into the card_layer group,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0283\scripts\test.gd,0,6,0,1,7,high
task_0284,Dragging state must reparent the card into the ui_layer group,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0284\scripts\test.gd,0,6,0,1,7,high
task_0285,Dragging state must reparent the card into the float_layer group,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0285\scripts\test.gd,0,6,0,1,7,high
task_0286,Dragging state must reparent the card into the front_layer group,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0286\scripts\test.gd,0,6,0,1,7,high
task_0287,Dragging state must reparent the card into the ui_drag_layer group,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0287\scripts\test.gd,0,6,0,1,7,high
task_0288,Dragging state must reparent the card into the hud_drag_layer group,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0288\scripts\test.gd,0,6,0,1,7,high
task_0289,Dragging state must reparent the card into the screen_layer group,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0289\scripts\test.gd,0,6,0,1,7,high
task_0290,Dragging state must reparent the card into the top_ui_layer group,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0290\scripts\test.gd,0,6,0,1,7,high
task_0291,Dragging state must reparent the card into the drag_overlay group,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0291\scripts\test.gd,0,6,0,1,7,high
