task_name,name,instruction,explicit_shader_terms,shader_file_count,shader_files,candidate,category
task_0014,Build the gritty world environment stack,"Under Main, configure the WorldEnvironment so its Environment keeps the procedural sky background (background_mode = Sky) with the ProceduralSkyMaterial's sky colors set to Color(0.5216, 0.6706, 0.7922), switches to ACES tone mapping, enables SSR with 128 max steps and 0.51 depth tolerance, enables SSAO at intensity 5.54, enables SDFGI with occlusion (bounce feedback 1.44, 6 cascades, 0.1 min cell size), and activates glow using LensDirtTexture.png with normalized screen blend (intensity 4.33, strength 0.88, bloom 0.05).",,0,,False,not_shader
task_0015,Enable fog and LUT grading,"Enable depth fog in the shared WorldEnvironment, tint it to Color(0.5176, 0.5529, 0.6196) with density 0.001 and sky affect 0.147, enable volumetric fog with albedo Color(0.8706, 0.7961, 0.7726), and turn on Adjustments so the color correction slot uses the provided ExtremeLUT.png Texture3D as its lookup table.",,0,,False,not_shader
task_0016,Install the cultist flashlight priority marker,In scenes/cultist_prefab.tscn add a FlashlightPoint instance (point_of_interest.tscn) under ChestMarkerContainer so Main/Cultist exposes a child named FlashlightPoint that belongs to the FlashlightPoints group and has its priority set to High. Leave the existing ChestTarget marker alone; only wire up the high-priority flashlight anchor.,,0,,False,not_shader
task_0017,Cultist Limb SkeletonIK,"Inside Main/Cultist/CultistBody/CultistRig/Skeleton3D, create four SkeletonIK3D nodes named Hand_R_IK, Hand_L_IK, Foot_R_IK, and Foot_L_IK. Configure their root/tip bones exactly as in the video (upper_arm.R → hand.R, upper_arm.L → hand.L, thigh.R → foot.R, thigh.L → foot.L), enable magnet support, and point each solver’s target_node at the matching IK target container (RightHandTargetContainer/Hand_R_Target, LeftHandTargetContainer/Hand_L_Target, etc.).",,0,,False,not_shader
task_0018,Wire the weapon effects controller,"In scenes/main.tscn, finish the arms rig so BarrelEnd has a RayCast3D child that points straight 1000 units forward (facing away from camera), then add a WeaponEffectsController node under ArmsRig that uses scripts/weapon_effects_controller.gd. Assign its Barrel End and Barrel RayCast exports to the nodes you just created and point the PackedScene exports at scenes/effects/muzzle_flash_effect.tscn and scenes/effects/impact_effect.tscn. Finally, hook PlayerBody's gun_effects export up to the new controller so the CharacterBody3D script can call FireRevolver and Reload.",,0,,False,not_shader
task_0019,Build the muzzle flash effect prefab,"Create a layered muzzle flash prefab: edit scenes/effects/muzzle_flash_effect.tscn so the root Node3D uses scripts/generic_effect_handler.gd, targets its Optional Light export at an OmniLight child named MuzzleFlash, and keeps a 0.2 second fade. Add SmokeParticles configured with zero gravity and a StandardMaterial3D mesh using a radial GradientTexture2D. Simulate a volumetric smoke puff via using particle billboard mode for billboarding, plus a pair of opposing GPUParticles3D named MuzzleFireLeft and MuzzleFireRight that emit one-shot bursts. Each muzzle fire particle system must rely on the provided assets/shaders/muzzle_flash.gdshader ShaderMaterial and include a draw-pass QuadMesh so the burst renders from both sides. Wire the scene into scenes/main.tscn so Main instantiates the finished effect.",".gdshader,shadermaterial,shaders",1,tasks/task_0019/assets/shaders/muzzle_flash.gdshader,True,shader_integration
task_0020,Transition Menu Prefab,"Create res://scenes/menus.tscn as a Control named Menus that fills the viewport, keeps process mode Always, and uses scripts/menu_handler.gd. Add three hidden panels, all centered with anchors at 0.5: LaunchMenu (offsets: -205, -196 to 205, 196), PauseMenu (offsets: -205, -196 to 205, 45), and RestartMenu (offsets: -205, -196 to 205, 63). Give LaunchMenu a VBoxContainer with two labels, `Label` writing 'FPS Horror' and `Label2` writing 'By Bonkahe'; give PauseMenu a VBoxContainer containing label `Label` writing 'Paused'; and give RestartMenu a VBoxContainer containing label node `Label` writing 'You Died'. Add the appropriate buttons (FullScreenButton, PlayButton, QuitButton, ResumeButton, RestartButton) to the vbox containers of each panel using 31pt font overrides and exact node names. Finally, add a CanvasLayer on layer 2 with a TransitionOverlay ColorRect that ignores mouse input and stretches to the viewport; assign assets/materials/menu_overlay_material.tres to it, export the LaunchMenu/PauseMenu/DeathMenu references on the root, and connect every button’s pressed signal to the proper menu handler method (ToggleFullScreen, BeginLaunch, HidePauseMenu, RestartLevel, ExitGame).",,1,tasks/task_0020/assets/shaders/damage_overlay_post.gdshader,False,not_shader
task_0021,Level Camera Menu Hookup,"In res://scenes/level.tscn add a Camera3D named LevelCamera that matches the static menu shot (use position roughly -12.22, 15.83, 12.44 and use the rotation basis vectors (0.794097, 0.0, 0.607792), (0.37447, 0.787656, -0.489255), (-0.478731, 0.616115, 0.625475); leave current disabled). Instance res://scenes/player_body.tscn and res://scenes/menus.tscn under the Level root so the player and menu prefab exist together, then assign the menu handler exports so PlayerNode points to the PlayerBody node, LevelCamera points to the new LevelCamera, and the TransitionMaterial remains the provided shader material. The Menus instance must stay linked to scenes/menus.tscn and sit alongside the player so the handler can hide the player, drive the LevelCamera, and run transitions while the tree is paused.",shader,1,tasks/task_0021/assets/shaders/damage_overlay_post.gdshader,True,shader_scene_context
task_0022,Trap Spawning Points,"Add a Node2D named SpawningPoints under the Trap node. Inside SpawningPoints, create two Marker2D children named SpawnTop and SpawnBot. Place SpawnTop at position (0, 15) and SpawnBot at position (0, -15). Set SpawnBot's z_index to 1.",,0,,False,not_shader
task_0023,Player Damage Signal Bridge,"In res://scenes/main.tscn, use the existing Main (Node2D) root and existing Player (CharacterBody2D) node. Add a CanvasLayer named HUD with a Label called DamageLabel that starts at ""Total Damage: 0"", and connect Player.taken_damage to Main._on_player_taken_damage so the label updates each time Player.take_damage emits 20 damage.",,0,,False,not_shader
task_0024,Codex Interactable Highlight Resource,"Author res://scripts/interactable_item.gd so it extends Node3D with class_name InteractableItem, exports a MeshInstance3D named item_highlight_mesh, hides that mesh in _ready(), and provides gain_focus() / lose_focus() methods that toggle its visibility. Attach the script to the RigidBody3D in res://scenes/item_pickup.tscn, set its collision_layer to 2, collision_mask to 3, assign MeshInstance3D/Highlight to the export, and ensure the Highlight child stays hidden by default while using an emissive StandardMaterial3D for its outline. Create res://scripts/item_data.gd as a Resource with exported item_name (String) and item_model_prefab (PackedScene), then add res://resources/items/test_cube.tres using that script so it stores the name ""Test Cube"" and points item_model_prefab to res://scenes/item_pickup.tscn. Leave the ItemPickup instance in res://scenes/main.tscn so the prefab is visible in the scene tree.",,0,,False,not_shader
task_0025,Codex Interaction Area Pickup,"Implement res://scripts/player_interaction_handler.gd so it extends Area3D with class_name PlayerInteractionHandler, defines an item_picked_up(item_data: ItemData) signal, exports item_types: Array[ItemData], tracks nearby_bodies: Array[InteractableItem], listens for the 'interact' input action in _input(), and runs pickup_nearest_item() to remove the closest InteractableItem, queue_free it, and match its PackedScene path against the exported ItemData array before emitting the signal. Provide _on_body_entered() / _on_body_exited() methods that gain and lose focus on interactables and keep nearby_bodies in sync. Attach this script to PlayerBody/InteractionArea inside res://scenes/main.tscn, set its collision_layer to 0, collision_mask to 2, connect body_entered and body_exited to the script methods, and assign res://resources/items/test_cube.tres plus res://resources/items/test_sphere.tres to the exported array so pickups can be identified. Update project.godot to define an 'interact' action bound to the F key so the handler receives the input.",,0,,False,not_shader
task_0026,Codex Camera Shake Rig,"In scenes/player_body.tscn, restructure PlayerBody so CameraNode contains a CameraActual Node3D with a Camera3D child, assign those nodes to the player_body.gd exports, and implement a noise-based camera shake: expose a FastNoiseLite plus numeric exports for noise_panning_speed (30), max_power (0.15), blend_speed (7), return_strength (5), noise_strength (0.2), falling_bias (1.0), falling_strength_falloff (2.0), falling_max_strength (1.0), and jumping_strength (0.2). Track camera_shake_position/time_since_started, lerp CameraActual toward camera_shake_position plus sampled noise every physics frame, decay back to origin, clamp impulses to the max power, add an upward kick inside impulse_camera_with_recoil, and implement apply_landing_impulse() so downward velocities below the bias trigger a proportional drop impulse. In the PlayerBody scene, create a FastNoiseLite resource with default values and wire it to the camera shake export.",,0,,False,not_shader
task_0027,Codex Weapon Recoil Signal,"In scenes/weapon_rig.tscn, expose WeaponEffects with BarrelEnd/BarrelRayCast exports plus a camera_shake_power export set to 0.3, declare the on_shot_camera_impulse(Vector3,float) signal in scripts/weapon_effects.gd, and emit it from fire_weapon() using the normalized -BarrelRayCast global forward direction and the exported power. Update player_body.gd to include apply_weapon_impulse() that forwards to impulse_camera_with_recoil(), and connect the weapon signal to that method inside scenes/main.tscn so firing the weapon instantly kicks the PlayerBody camera backward.",,0,,False,not_shader
task_0028,Bonkahe Flashlight Priority Points,"Create a reusable FlashlightPoint marker scene that uses scripts/flashlight_point.gd to expose a Priority enum (low, medium, high), a has_been_targeted flag, and a reset_target_state() helper, then instance three FlashlightPoint nodes directly under Main in scenes/main.tscn. Place the nodes at (8.36166, 1.81915, -12.0301), (-16.6577, 2.41884, -39.9426), and (23.0185, 2.63927, -86.6948), keep them in the FlashlightPoints group, and set their priorities to medium, low, and high respectively.",,0,,False,not_shader
task_0029,Bonkahe Enemy Spawn Trigger,"Attach res://scripts/TriggerVolume.gd to NavigationRegion3D/Triggers/SpawnTrigger1 so its TriggerVolume_BodyEntered handler queue_frees the trigger after the wave fires. Implement res://scripts/EnemySpawnPoint.gd with exports for variables named EnemyPackedScene, AutoSetTarget, and TargetToSet, then attach it to EnemySpawnPointA, EnemySpawnPointB, and EnemySpawnPointC. Each spawn point must instantiate the Cultist scene, add it beside the marker, copy the marker transform, call PlaceOnMesh() on the EnemyAIController, and when AutoSetTarget is true call SetNodeTarget() with PlayerBody. Wire SpawnTrigger1's body_entered signal to every spawn point's SpawnInitiated method and assign EnemyPackedScene to res://scenes/Cultist.tscn with TargetToSet pointing to PlayerBody so the trigger spawns three enemies aimed at the player.",,0,,False,not_shader
task_0030,Bonkahe Sunshine Clouds Driver Setup,"Under Main, add a SunshineCloudsDriver node that uses addons/SunshineClouds2/SunshineCloudsDriver.gd, enable Update Continuously, and assign res://assets/clouds/tutorial_clouds_settings.tres to its clouds_resource while reusing the WorldEnvironment environment as ambience_sample_environment. Register the existing DirectionalLight3D and OmniLight3D inside tracked_directional_lights and tracked_point_lights (with a single shadow step entry set to 32) so the clouds use those lights, keep the OmniLight range at 20000, and extend Camera3D's far clip plane to 400000. Wire the same clouds resource into the WorldEnvironment's compositor effect list so the effect renders, and edit assets/clouds/tutorial_clouds_settings.tres to match the reference settings: cloud coverage 0.874, atmospheric density 0.617977, cloud ambient color pure white, ambient tint Color(0.131626, 0.201524, 0.241773, 1), atmosphere color Color(0.696127, 0.832325, 0.989334, 1), and a 512 km mask width so the painted area covers the entire level.",,0,,False,not_shader
task_0031,Bonkahe Sunshine Clouds Effectors,"Reuse the supplied volumetric clouds setup but finish the advanced controls: configure OmniLight3D as the warm point light: (color Color(0.76, 0.374933, 0.1824, 1), energy 11.685, range 20000, positioned at (10743.6, 6693.89, -43458.2)) and add it to SunshineCloudsDriver.tracked_point_lights. Instance a SunshineCloudsEffector under Main using addons/SunshineClouds2/SunshineCloudEffector.gd, place it at (19316.8, -2863.07, -3971.34) with Radius 18900.9 and Power 1.18, and assign it through tracked_point_effectors so moving the effector sculpts the clouds. Configure the wind controls by setting the driver's wind_direction to Vector3(1, 0, 1) with speeds 140 (extra large), 100 (large), 40 (medium), and 12 (small). Finally, open assets/clouds/mask_clouds_settings.tres and re-enable the painted mask by turning extra_large_used_as_mask back on, keeping mask_width_km at 512 km, and restoring a dense coverage value (0.874) so the flood-filled mask blankets the play space.",,0,,False,not_shader
task_0032,Bonkahe GPU Smoke Plume,"Complete the unfinished SmokeEmitter under Main: set the GPUParticles3D amount to 32, lifetime to 8 seconds, and draw order to View Depth, then attach a ParticleProcessMaterial that emits from a 1m sphere, keeps direction (0, 1, 0), adds gravity (0, 3, 0), uses 0.5 lifetime randomness, full ±180° angles with ±10 deg/sec angular velocity, 0.3 damping, scale 25–30 controlled by a CurveTexture, a GradientTexture1D that fades from transparent to opaque back to transparent, animation speed 0.5–1.0 with 0.1 offset, and turbulence enabled with ~0.02 influence. Provide a QuadMesh draw pass, assign the StandardMaterial3D override to res://assets/sprites/particle_sprite_smoke.webp, turn on particle billboarding with keep scale, configure an 8×8 flipbook that does not loop, and enable the proximity/distance fades so the smoke sprite blends out.",,0,,False,not_shader
task_0033,Bonkahe Arcing Chunk Sub-Emitter,"Finish the Explosion hierarchy so the ArcingChunks emitter works as wanted: set ArcingChunks to one_shot, lifetime 3s, randomness about 0.7, give it a QuadMesh draw pass and a StandardMaterial3D billboard with bright emission, and drive it with a ParticleProcessMaterial that fires from the default spread at 8–12 m/s, enables rigid collision with bounce 1.0, uses collision_use_scale, and sets a constant sub emitter frequency of 100 Hz with the sub_emitter path pointing to ../ArcingChunkSmoke. Add the GPUParticlesCollisionBox3D named ArcingChunkCollision, positioned just below the emitter and scaled to 40×1×40 so debris collides as shown in the collision segment of the video. Configure ArcingChunkSmoke to emit ~1000 particles with a ShaderMaterial referencing res://assets/shaders/SmokeShader.gdshader (NoiseTexture = res://assets/shaders/NoiseResource.tres) and a ParticleProcessMaterial that rotates sprites, uses the warm gradient/curve combo from the repo, lifetime 3 s, gravity (0,1,0), linear accel ~2, scale curve peaks between 8 and 15, and turbulence influence about 0.005–0.01 so the smoke puffs appear along the chunk trails.",".gdshader,shadermaterial,shaders",1,tasks/task_0033/assets/shaders/SmokeShader.gdshader,True,shader_integration
task_0034,Buffer Steering Debug Vectors,"Inside the SteerComponent script, capture the current velocity, scaled desired velocity, and steering force in a debug dictionary whenever debugging is enabled, and queue a redraw every frame so the overlay can update.",,0,,False,not_shader
task_0035,Draw Steering Force Gizmos,"Use the SteerComponent's _draw function to render the velocity vector in black, the desired velocity in red, a blue connector between them, and circles at both tips so the steering forces are visible during play.",,0,,False,not_shader
task_0036,Trait UI Highlight,"Make the trait panel behave like the tutorial's left-column tracker. In res://scenes/trait_ui/trait_ui.tscn keep the existing node hierarchy but complete trait_ui.gd so that exporting trait_data: Trait populates the icon and name label, update(units) counts the number of unique unit names that include that trait, writes the count to %ActiveUnitsLabel, formats the threshold RichTextLabel with the BBCode returned by the Trait resource, and toggles the panel alpha to 1.0 when active and 0.5 when inactive. The Trait resource provided in data/traits must drive all text, and Main.tscn should keep instancing the TraitUI scene with the elf trait assigned.",,0,,False,not_shader
task_0037,Sell Portal Gold Preview,"Finish res://scenes/sell_portal/sell_portal.gd so the Area2D behaves like a selling portal. Keep the OutlineHighlighter and FlipSprite nodes wired to the CanvasGroup + Sprite2D, scan the ""units"" group in _ready() and call setup_unit(unit) to connect each unit's DragAndDrop.dropped and quick_sell_pressed signals. When a unit overlaps the portal, highlight the outline, face the sprite toward the unit each frame, show the %Gold container, and set %GoldLabel to unit.stats.get_gold_value(). When the unit exits, clear current_unit, hide the gold preview, and reset the outline. Dropping or quick-selling while hovered must call _sell_unit, which adds the unit's gold value to player_stats.gold, pushes the stats back into the exported unit_pool, and removes and queue_free()s the unit. The provided Main.tscn should continue instancing SellPortal.tscn with its exported resources assigned.",,1,tasks/task_0037/assets/shaders/2d_outline.gdshader,False,not_shader
task_0038,Rain Splash Subemitters,"Finish res://scenes/main.tscn so Rain's GPUParticles2D fills the 1800px-wide sky, emits ~800 drops for 5s with a 10s preprocess, 600-850 initial velocity along (0.1, 1, 0), scale 0.2-1.0, hide-on-contact collisions (base size ≈5), and a visibility rect that covers the whole screen (suppose the screen is 1800x900, starting at around (-900, -200)). Wire its sub_emitter to Splash and set the ParticleProcessMaterial to a box emission 900px wide with four Splash particles per collision. Configure Splash with its own ParticleProcessMaterial (align_y=true, 6400 amount, explosiveness 1, 50-60 velocity, gravity 98, scale 0.1-0.2) so Rain collisions burst extra droplets. Keep GroundOccluder and GroundCollider covering the floor so collisions work.",,0,,False,not_shader
task_0039,Campfire Smoke Trails,"Add a GPUParticles2D named SmokeStylized under Campfire in res://scenes/main.tscn that uses the smokelet texture and emits ~12 particles with lifetime 15s and preprocess 20s. Configure its ParticleProcessMaterial with zero gravtiy, initial velocity direction (0.2, -1, 0), 30-50 initial velocity, -30 to 30 directional velocity whose sway is driven by a CurveXYZTexture with 3 or more points on the X curve. Configure ParticleProcessMaterial's display to grow the streaks to 3x size using scale max = 3 and a scale CurveTexture; also use a color ramp GradientTexture1D (orange near flame → gray mid-air → transparent). Enable trails (5s lifetime, ≥32 sections, ≥32 subdivisions) so the smoke forms continuous ribbons above the flame.",,0,,False,not_shader
task_0040,Day-Night Cycle Controller,"Finish res://scenes/Main.tscn by wiring the provided day-night scripts to the existing SunLight, ClockLabel, and PorchLight. Under Main add a Node named DayNightCycle that runs scripts/day_night/DayNightCycleNode.gd and give it four children: LightColorTransition, SampledObjectRotator, TimeHandler, and LightIntensityTransition. LightColorTransition must use scripts/day_night/LightColorTransitionNode.gd, target ../../SunLight, and its gradient must have stops at offsets 0.00 and 1.00 with Color(0.05, 0.05, 0.08), 0.25 and 0.75 with Color(0.97, 0.64, 0.28), and 0.50 with Color(0.98, 0.98, 0.94). SampledObjectRotator must use scripts/day_night/SampledObjectRotatorNode.gd, target ../../SunLight, and its X rotation curve needs two points so the samples return ≈0° at 0.0, ≈180° at 0.5, and ≈360° at 1.0; leave Y/Z curves flat. TimeHandler must run scripts/day_night/TimeHandler.gd with day_length_seconds = 10 and display_interval_minutes = 10. LightIntensityTransition must use scripts/day_night/LightIntensityTransitionNode.gd, target ../../SunLight, and its curve must keep intensity ≤0.2 at 0.0 and 1.0 but ≈1.1 at 0.5 (three control points at 0.0→0.1, 0.5→1.1, 1.0→0.1 works). Connect DayNightCycle.time_changed to Main._on_day_night_cycle_time_changed, then implement that method in scripts/main.gd so ClockLabel.text always shows the emitted time string, PorchLight.visible is false when the time is ""06:00"", and PorchLight.visible is true again when the time reaches ""18:00"".",,0,,False,not_shader
task_0041,Pong Scoreboard and Respawn,"Add a Scoreboard and Respawn mechanism to the Pong game. Attach a new Pong script named `pong.gd` in scripts directory to the Main scene that tracks left_points and right_points, exposes reset_points(), handle_left_point_up(), handle_right_point_up(), and respawns the Ball via new_ball() after every score. Add LeftLabel and RightLabl (sic; name node as specified) Label nodes centered above each paddle, initialize their text to ""0"", and connect the LeftWall.rightPointUp and RightWall.leftPointUp signals so scoring updates the labels and resets both scores whenever a side reaches 11 points. To keep in line with our API convention, you should add functions _on_right_wall_left_point_up() and _on_left_wall_right_point_up(), which listens to each signal, and then calls each respective handler function.",,0,,False,not_shader
task_0042,Pong Camera Spring Shake,"Add a Camera2D node centered on the playfield, attach a Camera2D.gd script that stores displacement, velocity, and the SPRING=900, DAMP=18, MULTIPLIER=20 constants, and implement a shake(right_pointed) method that reverses direction based on who scored. Update pong.gd so new_ball() keeps respawning the Ball and also calls Camera2D.shake() after every score. In _physics_process(), apply spring-damper physics to update velocity and displacement, then set position.x = displacement to drive the horizontal spring motion.",,0,,False,not_shader
task_0043,Portrait Balloon Layout,"Build the portrait-ready dialogue balloon in `scenes/portrait_balloon.tscn`. Wrap the dialogue content in an `HBoxContainer` with a named TextureRect portrait slot (150×150 min size) before the VBox text column, set the separation to 30 px, and flag the portrait node as unique for scripts. Name the HBox node as `HBoxContainer`, and the portrait node `PortraitTexture`. Update the balloon theme so every MarginContainer side uses 30 px padding, the default font size is 26, the panel background switches to the ""RPG blue"" (#17438C) color, and the response buttons use matching blue normal/focus StyleBoxFlat resources (slightly darker blue for normal, and lighter blue for focus).",,0,,False,not_shader
task_0044,Wire inventory add/clear buttons,"Attach inventory.gd to the Inventory PanelContainer so it exports an Array[Item] and caches $MarginContainer/GridContainer, then implement add_item_resource() to locate the first Slot child without slotItemResource, construct a new Item with the icon texture (from res://assets/sprites/item_icon.png) and a random quantity between 1 and 20 using randi_range(1, 20), append it to the exported array, and call set_item on that Slot. Implement clear_all_inventory_items() so it clears the array and calls set_data_empty() on every Slot in the grid. Finally, connect AddItemButton.pressed and ClearItemsButton.pressed in scenes/main.tscn to those two methods on the Inventory node.",,0,,False,not_shader
task_0045,FPS Arms Prefab Wiring,"Add an `ArmsContainer` Node3D under `PlayerBody`, move it to (0, 0.5, 0), and instance `ScenePrefabs/ArmsPrefab.tscn` there as `ArmsMesh`. Configure the `PlayerBody` exports so its animation tree points to the prefab, the playback path stays `parameters/playback`, the idle/aiming/idle_fire/aiming_fire/reload animation names read `IdleLowered`, `IdleRaised`, `FiringLowered1`, `FiringRaised1`, `Reloading` respectively, the camera/arms NodePaths point to `Camera3D` and `ArmsContainer`, the rotation/camera/arms speeds are set to 0.3, 20.0, 12.0 respectively, and vertical rotation limit is set to 80.0, speed to 5.0 and jump velocity to 4.5.",,0,,False,not_shader
task_0046,ProtoController Freefly Input Map,"Instance the ProtoController scene (res://addons/proto_controller/proto_controller.tscn) in Main as Player, leave it above the floor, enable Sprint and Freefly on the inspector, and point all of its input_* fields to custom actions named move_left/right/up/down, jump, sprint, and freefly. Then open Project Settings → Input Map and create those actions bound to A, D, W, S, Space, Shift, and F so the exported fields match the bindings. Finish by making sure the ProtoController camera is Current so the scene runs through that player rig.",,0,,False,not_shader
task_0047,Additive Sprite Lights,"Populate the Lights node with three Sprite2D faux lights aligned with the Left, Center, and Right markers. Name the Sprite2D nodes TorchLeft, TorchCenter, and TorchRight. Each sprite must use the provided glow textures (glow_disc.tres for the two torches on the sides, glow_streak.tres for the center), and each sprite needs a CanvasItemMaterial set to additive, light-only blending so the sprites behave like Light2D impostors.",,0,,False,not_shader
task_0048,Codex Draggable Decorations,"Implement scenes/draggable.tscn as a decoration component that can be dragged. The root Area2D must be named Draggable in the scene, set collision_mask to 2, linear_damp to 20, and attach scripts/draggable.gd. Under it, add Sprite2D named Sprite that uses assets/sprites/star_1.png and is uniformly scaled to 0.58, plus a CollisionShape2D named CollisionShape that holds a 72×72 RectangleShape2D covering the sprite. Implement scripts/draggable.gd so it records initial_position and initial_scale on _ready(), shrinks to zero and tweens back in play_spawn_animation(), listens for the ""click"" action in _on_input_event/_input, lerps toward the mouse while dragging, emits dropped(self, overlapping_areas) on release, and calls self_destruct() with a shrink tween whenever it is dropped outside DropTarget's region.",,0,,False,not_shader
task_0049,Build Grid Player Nodes,"In scenes/Player.tscn finish the Player Area2D by adding the `Sprite2d` that uses res://assets/sokoban_character.png sliced to 6 hframes and 4 vframes (frame 6), a `CollisionShape2d` with a RectangleShape2D sized Vector2(32, 32), a `RayCast2d` that has collide_with_areas enabled, and an AnimationPlayer containing four clips named up, down, left, and right that key Sprite2d.frame for each movement row. Name the nodes as described above, with lowercase `d` in `2d`. Each clip should be properly animated with 6 frames, and the first and only animation track should be Sprite2d.frame.",,0,,False,not_shader
