task_name,constraint_kind,method_name,instruction_explicitly_names_method,validator_line,validator_excerpt,official_failure_message,review_status
task_0281,direct_handler_call,_on_gui_input,False,107,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the overlay_layer group,candidate_only
task_0281,direct_handler_call,_on_drop_point_detector_area_entered,False,111,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the overlay_layer group,candidate_only
task_0282,direct_handler_call,_on_gui_input,False,62,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the drag_layer group,candidate_only
task_0282,direct_handler_call,_on_drop_point_detector_area_entered,False,99,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the drag_layer group,candidate_only
task_0282,direct_handler_call,_on_drop_point_detector_area_entered,False,100,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the drag_layer group,candidate_only
task_0282,direct_handler_call,_on_drop_point_detector_area_exited,False,103,card._on_drop_point_detector_area_exited(drop_area),Dragging state must reparent the card into the drag_layer group,candidate_only
task_0282,direct_handler_call,_on_gui_input,False,107,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the drag_layer group,candidate_only
task_0282,direct_handler_call,_on_drop_point_detector_area_entered,False,111,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the drag_layer group,candidate_only
task_0283,direct_handler_call,_on_gui_input,False,62,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the card_layer group,candidate_only
task_0283,direct_handler_call,_on_drop_point_detector_area_entered,False,99,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the card_layer group,candidate_only
task_0283,direct_handler_call,_on_drop_point_detector_area_entered,False,100,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the card_layer group,candidate_only
task_0283,direct_handler_call,_on_drop_point_detector_area_exited,False,103,card._on_drop_point_detector_area_exited(drop_area),Dragging state must reparent the card into the card_layer group,candidate_only
task_0283,direct_handler_call,_on_gui_input,False,107,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the card_layer group,candidate_only
task_0283,direct_handler_call,_on_drop_point_detector_area_entered,False,111,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the card_layer group,candidate_only
task_0284,direct_handler_call,_on_gui_input,False,62,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the ui_layer group,candidate_only
task_0284,direct_handler_call,_on_drop_point_detector_area_entered,False,99,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the ui_layer group,candidate_only
task_0284,direct_handler_call,_on_drop_point_detector_area_entered,False,100,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the ui_layer group,candidate_only
task_0284,direct_handler_call,_on_drop_point_detector_area_exited,False,103,card._on_drop_point_detector_area_exited(drop_area),Dragging state must reparent the card into the ui_layer group,candidate_only
task_0284,direct_handler_call,_on_gui_input,False,107,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the ui_layer group,candidate_only
task_0284,direct_handler_call,_on_drop_point_detector_area_entered,False,111,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the ui_layer group,candidate_only
task_0285,direct_handler_call,_on_gui_input,False,62,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the float_layer group,candidate_only
task_0285,direct_handler_call,_on_drop_point_detector_area_entered,False,99,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the float_layer group,candidate_only
task_0285,direct_handler_call,_on_drop_point_detector_area_entered,False,100,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the float_layer group,candidate_only
task_0285,direct_handler_call,_on_drop_point_detector_area_exited,False,103,card._on_drop_point_detector_area_exited(drop_area),Dragging state must reparent the card into the float_layer group,candidate_only
task_0285,direct_handler_call,_on_gui_input,False,107,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the float_layer group,candidate_only
task_0285,direct_handler_call,_on_drop_point_detector_area_entered,False,111,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the float_layer group,candidate_only
task_0286,direct_handler_call,_on_gui_input,False,62,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the front_layer group,candidate_only
task_0286,direct_handler_call,_on_drop_point_detector_area_entered,False,99,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the front_layer group,candidate_only
task_0286,direct_handler_call,_on_drop_point_detector_area_entered,False,100,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the front_layer group,candidate_only
task_0286,direct_handler_call,_on_drop_point_detector_area_exited,False,103,card._on_drop_point_detector_area_exited(drop_area),Dragging state must reparent the card into the front_layer group,candidate_only
task_0286,direct_handler_call,_on_gui_input,False,107,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the front_layer group,candidate_only
task_0286,direct_handler_call,_on_drop_point_detector_area_entered,False,111,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the front_layer group,candidate_only
task_0287,direct_handler_call,_on_gui_input,False,62,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the ui_drag_layer group,candidate_only
task_0287,direct_handler_call,_on_drop_point_detector_area_entered,False,99,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the ui_drag_layer group,candidate_only
task_0287,direct_handler_call,_on_drop_point_detector_area_entered,False,100,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the ui_drag_layer group,candidate_only
task_0287,direct_handler_call,_on_drop_point_detector_area_exited,False,103,card._on_drop_point_detector_area_exited(drop_area),Dragging state must reparent the card into the ui_drag_layer group,candidate_only
task_0287,direct_handler_call,_on_gui_input,False,107,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the ui_drag_layer group,candidate_only
task_0287,direct_handler_call,_on_drop_point_detector_area_entered,False,111,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the ui_drag_layer group,candidate_only
task_0288,direct_handler_call,_on_gui_input,False,62,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the hud_drag_layer group,candidate_only
task_0288,direct_handler_call,_on_drop_point_detector_area_entered,False,99,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the hud_drag_layer group,candidate_only
task_0288,direct_handler_call,_on_drop_point_detector_area_entered,False,100,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the hud_drag_layer group,candidate_only
task_0288,direct_handler_call,_on_drop_point_detector_area_exited,False,103,card._on_drop_point_detector_area_exited(drop_area),Dragging state must reparent the card into the hud_drag_layer group,candidate_only
task_0288,direct_handler_call,_on_gui_input,False,107,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the hud_drag_layer group,candidate_only
task_0288,direct_handler_call,_on_drop_point_detector_area_entered,False,111,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the hud_drag_layer group,candidate_only
task_0289,direct_handler_call,_on_gui_input,False,62,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the screen_layer group,candidate_only
task_0289,direct_handler_call,_on_drop_point_detector_area_entered,False,99,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the screen_layer group,candidate_only
task_0289,direct_handler_call,_on_drop_point_detector_area_entered,False,100,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the screen_layer group,candidate_only
task_0289,direct_handler_call,_on_drop_point_detector_area_exited,False,103,card._on_drop_point_detector_area_exited(drop_area),Dragging state must reparent the card into the screen_layer group,candidate_only
task_0289,direct_handler_call,_on_gui_input,False,107,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the screen_layer group,candidate_only
task_0289,direct_handler_call,_on_drop_point_detector_area_entered,False,111,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the screen_layer group,candidate_only
task_0290,direct_handler_call,_on_gui_input,False,62,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the top_ui_layer group,candidate_only
task_0290,direct_handler_call,_on_drop_point_detector_area_entered,False,99,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the top_ui_layer group,candidate_only
task_0290,direct_handler_call,_on_drop_point_detector_area_entered,False,100,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the top_ui_layer group,candidate_only
task_0290,direct_handler_call,_on_drop_point_detector_area_exited,False,103,card._on_drop_point_detector_area_exited(drop_area),Dragging state must reparent the card into the top_ui_layer group,candidate_only
task_0290,direct_handler_call,_on_gui_input,False,107,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the top_ui_layer group,candidate_only
task_0290,direct_handler_call,_on_drop_point_detector_area_entered,False,111,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the top_ui_layer group,candidate_only
task_0291,direct_handler_call,_on_gui_input,False,62,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the drag_overlay group,candidate_only
task_0291,direct_handler_call,_on_drop_point_detector_area_entered,False,99,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the drag_overlay group,candidate_only
task_0291,direct_handler_call,_on_drop_point_detector_area_entered,False,100,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the drag_overlay group,candidate_only
task_0291,direct_handler_call,_on_drop_point_detector_area_exited,False,103,card._on_drop_point_detector_area_exited(drop_area),Dragging state must reparent the card into the drag_overlay group,candidate_only
task_0291,direct_handler_call,_on_gui_input,False,107,"card._on_gui_input(make_mouse_button_event(MOUSE_BUTTON_LEFT, true))",Dragging state must reparent the card into the drag_overlay group,candidate_only
task_0291,direct_handler_call,_on_drop_point_detector_area_entered,False,111,card._on_drop_point_detector_area_entered(drop_area),Dragging state must reparent the card into the drag_overlay group,candidate_only
